antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'TIPO_ACCESO_Otros', 'GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.05581297388374052|0.12636899747262004|0.011373209772535805|0.2037735849056604|1.6125283018867926|0.0043201802168819905|1.0972142922737236
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(25.0, 29.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.05391743892165122|0.12636899747262004|0.010530749789385004|0.1953125|1.5455729166666667|0.003717257086564716|1.0856773623641227
frozenset({'GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.08887952822240944|0.12636899747262004|0.017270429654591406|0.19431279620853079|1.5376619273301737|0.0060388127772860855|1.084330244313395
frozenset({'GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.08993260320134794|0.12636899747262004|0.017270429654591406|0.1920374707259953|1.519656518345043|0.005905736747934128|1.0812766321135978
frozenset({'GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.08403538331929233|0.12636899747262004|0.016006739679865205|0.19047619047619047|1.5073015873015874|0.005387272537578897|1.0791912384161753
frozenset({'SEXO_H', 'EXP_PREVIA_True', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.13331929233361414|0.12636899747262004|0.02464195450716091|0.18483412322274884|1.4626540284360192|0.007794529191202933|1.0717217531004486
frozenset({'EXP_PREVIA_True', 'TIPO_ACCESO_Formación Profesional', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.05834035383319292|0.12636899747262004|0.010741364785172704|0.18411552346570398|1.456967509025271|0.0033689527590741895|1.0707778216817885
frozenset({'EXP_PREVIA_True'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.5111625947767481|0.12636899747262004|0.09351305812973884|0.18294190358467244|1.4476802637000414|0.02891795348229806|1.0692397595229204
frozenset({'EDAD_FIN_(25.0, 29.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.11773378264532434|0.12636899747262004|0.02148272957034541|0.18246869409660108|1.4439355992844367|0.00660482948879642|1.0686208542949789
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_H'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.12973883740522324|0.12636899747262004|0.02358887952822241|0.18181818181818185|1.4387878787878792|0.007193912712061094|1.0677712253112421
frozenset({'SEXO_H', 'EDAD_FIN_(21.0, 25.0]', 'EXP_PREVIA_True', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.11436394271272114|0.12636899747262004|0.020219039595619208|0.17679558011049723|1.3990423572744015|0.005766982807996488|1.0612564527346025
frozenset({'TIPO_ACCESO_Formación Profesional'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.12573715248525694|0.12636899747262004|0.02211457455770851|0.17587939698492464|1.3917922948073704|0.006225296653084637|1.060076643310662
frozenset({'EDAD_FIN_(25.0, 29.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.07160909856781802|0.12636899747262004|0.012005054759898905|0.16764705882352943|1.3266470588235297|0.0029558847639657108|1.0495920171707038
frozenset({'EXP_PREVIA_True', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.33129738837405226|0.12636899747262004|0.05539174389216512|0.16719643992371264|1.3230811612629794|0.01352602505803889|1.049024096927915
frozenset({'SEXO_H'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.3209772535804549|0.12636899747262004|0.05307497893850042|0.1653543307086614|1.308503937007874|0.012513405192023389|1.0467088426507287
frozenset({'EXP_PREVIA_True', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.38584667228306657|0.12636899747262004|0.062342038753159225|0.1615720524017467|1.2785735080058225|0.01358298159860153|1.0419869769727605
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.3892165122156698|0.12636899747262004|0.062131423757371525|0.15963203463203463|1.2632215007215009|0.012946523308887563|1.0395815149198957
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.34119629317607414|0.12636899747262004|0.05433866891322662|0.15925925925925924|1.2602716049382716|0.011222035403191978|1.0391205756933592
frozenset({'TIPO_ACCESO_Formación Profesional', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.08340353833192923|0.12636899747262004|0.012847514743049706|0.15404040404040406|1.2189730639730643|0.002307893218374572|1.0327100805995297
frozenset({'TIPO_ACCESO_Otros', 'EDAD_FIN_(21.0, 25.0]', 'EXP_PREVIA_True', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.22683235046335298|0.12636899747262004|0.03411962931760741|0.15041782729805014|1.190306406685237|0.0054550525951954955|1.0283066554338667
frozenset({'EXP_PREVIA_True', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.2525273799494524|0.12636899747262004|0.037700084245998314|0.14929107589658047|1.181390047261607|0.0057884524073986005|1.0269446784611063
frozenset({'EXP_PREVIA_True', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.2594776748104465|0.12636899747262004|0.038542544229149114|0.14853896103896105|1.175438311688312|0.005752610596826482|1.0260375549225282
frozenset({'SEXO_H', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.2592670598146588|0.12636899747262004|0.03727885425442291|0.1437855402112104|1.1378229082047118|0.004515535827970665|1.0203413321738184
frozenset({'SEXO_H', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.2632687447346251|0.12636899747262004|0.037700084245998314|0.1432|1.1331893333333334|0.004431076908008626|1.019644027226167
frozenset({'SEXO_H', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(75.0, 100.0]'})|0.2384161752316765|0.12636899747262004|0.03306655433866891|0.13869257950530034|1.0975206124852768|0.0029381412933854496|1.0143079947292246
